lambda,order,outbound_steps,inbound_steps,total_steps,total_density
0.36,15,19,14,33,45
0.36,16,24,10,34,49
0.36,17,23,13,36,47
0.36,18,17,19,36,36
0.36,19,30,8,38,46
0.36,20,21,15,36,50
0.36,21,21,5,26,18
0.36,22,56,10,66,40
0.36,23,35,6,41,18
0.36,24,21,17,38,62
0.36,25,71,8,79,10
0.36,26,20,28,48,10
0.36,27,44,19,63,41
0.36,28,31,17,48,47
0.36,29,52,13,65,61
0.36,30,36,6,42,38
0.36,31,10,13,23,51
0.36,32,33,8,41,25
0.36,33,20,4,24,35
0.36,34,23,7,30,30
0.36,35,38,8,46,44
0.36,36,32,8,40,45
0.36,37,101,8,109,26
0.36,38,14,9,23,30
0.36,39,24,5,29,26
0.36,40,53,29,82,57
0.36,41,16,16,32,12
0.36,42,34,7,41,25
0.36,43,102,3,105,14
0.36,44,78,21,99,25
0.36,45,45,15,60,58
0.36,46,63,17,80,50
0.36,47,45,7,52,20
0.36,48,79,12,91,33
0.36,49,20,20,40,54
0.36,50,65,17,82,26
0.36,51,36,7,43,35
0.36,52,54,32,86,38
0.36,53,48,15,63,20
0.36,54,37,5,42,26
0.36,55,67,12,79,28
0.36,56,17,11,28,4
0.36,57,14,4,18,25
0.36,58,18,6,24,60
0.36,59,34,6,40,19
0.36,60,28,6,34,37
0.36,61,46,10,56,55
0.36,62,103,9,112,37
0.36,63,67,16,83,32
0.36,64,42,19,61,43
0.36,65,68,11,79,11
0.36,66,85,15,100,36
0.36,67,45,15,60,56
0.36,68,70,15,85,59
0.36,69,18,18,36,10
0.36,70,48,12,60,36
0.36,71,41,23,64,28
0.36,72,84,4,88,40
0.36,73,19,20,39,57
0.36,74,49,5,54,30
0.36,75,26,7,33,25
0.36,76,10,10,20,30
0.36,77,55,2,57,32
0.36,78,28,29,57,42
0.36,79,37,11,48,48
0.36,80,84,3,87,11
0.36,81,38,4,42,36
0.36,82,75,17,92,55
0.36,83,21,9,30,38
0.36,84,105,7,112,33
0.36,85,30,7,37,57
0.36,86,44,15,59,41
0.36,87,28,15,43,28
0.36,88,39,29,68,4
0.36,89,41,3,44,28
0.36,90,19,11,30,29
0.36,91,7,7,14,20
0.36,92,10,15,25,34
0.36,93,24,5,29,48
0.36,94,12,12,24,14
0.36,95,67,29,96,30
0.36,96,49,27,76,18
0.36,97,13,13,26,30
0.36,98,32,32,64,18
0.36,99,102,7,109,22
------------------------
0.37,0,19,5,24,14
0.37,1,69,10,79,10
0.37,2,38,9,47,42
0.37,3,63,17,80,50
0.37,4,22,8,30,39
0.37,5,57,18,75,27
0.37,6,11,11,22,54
0.37,7,78,21,99,25
0.37,8,41,11,52,40
0.37,9,39,4,43,26
0.37,10,5,5,10,46
0.37,11,22,18,40,56
0.37,12,31,6,37,53
0.37,13,59,20,79,31
0.37,14,15,15,30,28
0.37,15,97,13,110,36
0.37,16,21,12,33,49
0.37,17,49,13,62,10
0.37,18,4,4,8,20
0.37,19,19,7,26,51
0.37,20,28,22,50,63
0.37,21,22,3,25,38
0.37,22,33,4,37,39
0.37,23,32,18,50,47
0.37,24,20,4,24,11
0.37,25,18,18,36,41
0.37,26,0,0,0,0
0.37,27,18,18,36,24
0.37,28,39,5,44,49
0.37,29,67,11,78,10
0.37,30,80,11,91,53
0.37,31,49,14,63,53
0.37,32,54,14,68,22
0.37,33,72,14,86,30
0.37,34,24,24,48,12
0.37,35,24,11,35,21
0.37,36,15,15,30,8
0.37,37,93,6,99,31
0.37,38,87,11,98,34
0.37,39,7,7,14,30
0.37,40,39,11,50,46
0.37,41,70,6,76,54
0.37,42,45,7,52,28
0.37,43,35,4,39,36
0.37,44,5,5,10,12
0.37,45,93,6,99,23
0.37,46,93,9,102,46
0.37,47,3,3,6,18
0.37,48,21,21,42,16
0.37,49,39,19,58,41
------------------------
0.38,0,19,5,24,14
0.38,1,69,10,79,10
0.38,2,38,9,47,42
0.38,3,47,17,64,56
0.38,4,22,8,30,39
0.38,5,57,18,75,27
0.38,6,11,11,22,54
0.38,7,78,21,99,25
0.38,8,41,11,52,40
0.38,9,39,4,43,26
0.38,10,5,5,10,46
0.38,11,22,18,40,56
0.38,12,31,6,37,53
0.38,13,59,20,79,31
0.38,14,15,15,30,28
0.38,15,33,18,51,55
0.38,16,21,12,33,49
0.38,17,49,13,62,10
0.38,18,4,4,8,20
0.38,19,19,7,26,51
0.38,20,28,22,50,63
0.38,21,22,3,25,38
0.38,22,33,4,37,39
0.38,23,32,18,50,47
0.38,24,20,4,24,11
0.38,25,18,18,36,41
0.38,26,0,0,0,0
0.38,27,18,18,36,24
0.38,28,39,5,44,49
0.38,29,67,11,78,10
0.38,30,80,11,91,53
0.38,31,49,14,63,53
0.38,32,54,14,68,22
0.38,33,72,14,86,30
0.38,34,24,24,48,12
0.38,35,24,11,35,21
0.38,36,15,15,30,8
0.38,37,93,6,99,31
0.38,38,87,11,98,34
0.38,39,7,7,14,30
0.38,40,39,11,50,46
0.38,41,70,6,76,54
0.38,42,45,7,52,28
0.38,43,35,4,39,36
0.38,44,5,5,10,12
0.38,45,93,6,99,23
0.38,46,93,9,102,46
0.38,47,3,3,6,18
0.38,48,21,21,42,16
0.38,49,39,19,58,41
------------------------
0.39,0,19,5,24,14
0.39,1,69,10,79,10
0.39,2,38,9,47,42
0.39,3,47,17,64,56
0.39,4,22,8,30,39
0.39,5,57,18,75,27
0.39,6,11,11,22,54
0.39,7,78,21,99,25
0.39,8,41,11,52,40
0.39,9,39,4,43,26
0.39,10,5,5,10,46
0.39,11,22,18,40,56
0.39,12,31,6,37,53
0.39,13,59,20,79,31
0.39,14,15,15,30,28
0.39,15,33,18,51,55
0.39,16,21,12,33,49
0.39,17,28,13,41,18
0.39,18,4,4,8,20
0.39,19,19,7,26,51
0.39,20,28,22,50,63
0.39,21,22,3,25,38
0.39,22,33,4,37,39
0.39,23,32,18,50,47
0.39,24,20,4,24,11
0.39,25,18,18,36,41
0.39,26,40,14,54,44
0.39,27,18,18,36,24
0.39,28,39,5,44,49
0.39,29,67,11,78,10
0.39,30,80,11,91,53
0.39,31,49,14,63,53
0.39,32,54,14,68,22
0.39,33,72,14,86,30
0.39,34,24,24,48,12
0.39,35,24,11,35,21
0.39,36,15,15,30,8
0.39,37,93,6,99,31
0.39,38,87,11,98,34
0.39,39,7,7,14,30
0.39,40,39,11,50,46
0.39,41,70,6,76,54
0.39,42,45,7,52,28
0.39,43,35,4,39,36
0.39,44,5,5,10,12
0.39,45,93,6,99,23
0.39,46,93,9,102,46
0.39,47,3,3,6,18
0.39,48,21,21,42,16
0.39,49,39,19,58,41
------------------------
0.4,0,27,10,37,77
0.4,1,36,7,43,35
0.4,2,21,8,29,22
0.4,3,36,8,44,37
0.4,4,13,10,23,24
0.4,5,37,11,48,42
0.4,6,83,3,86,30
0.4,7,19,16,35,48
0.4,8,50,12,62,16
0.4,9,10,11,21,49
0.4,10,87,17,104,36
0.4,11,16,6,22,37
0.4,12,15,3,18,27
0.4,13,12,11,23,58
0.4,14,10,10,20,30
0.4,15,71,8,79,29
0.4,16,13,13,26,4
0.4,17,91,8,99,28
0.4,18,20,8,28,45
0.4,19,58,5,63,57
0.4,20,19,19,38,26
0.4,21,79,8,87,21
0.4,22,12,12,24,34
0.4,23,72,14,86,30
0.4,24,50,20,70,48
0.4,25,24,9,33,60
0.4,26,9,4,13,8
0.4,27,73,9,82,34
0.4,28,11,11,22,12
0.4,29,10,10,20,28
0.4,30,23,10,33,50
0.4,31,16,16,32,20
0.4,32,31,12,43,47
0.4,33,23,7,30,45
0.4,34,35,6,41,35
0.4,35,36,10,46,63
0.4,36,26,20,46,40
0.4,37,23,19,42,41
0.4,38,30,15,45,39
0.4,39,39,3,42,28
0.4,40,47,16,63,9
0.4,41,63,11,74,50
0.4,42,22,18,40,56
0.4,43,75,28,103,14
0.4,44,16,10,26,30
0.4,45,42,4,46,38
0.4,46,46,18,64,14
0.4,47,44,11,55,20
0.4,48,41,3,44,15
0.4,49,6,6,12,26
0.4,50,0,0,0,0
0.4,51,78,11,89,49
0.4,52,61,6,67,31
0.4,53,76,4,80,29
0.4,54,104,5,109,24
0.4,55,26,2,28,29
0.4,56,16,12,28,26
0.4,57,96,5,101,40
0.4,58,0,0,0,0
0.4,59,49,13,62,52
0.4,60,9,14,23,54
0.4,61,91,5,96,27
0.4,62,36,6,42,39
0.4,63,20,10,30,40
0.4,64,44,4,48,53
0.4,65,102,3,105,20
0.4,66,77,6,83,48
0.4,67,92,4,96,29
0.4,68,10,9,19,43
0.4,69,14,7,21,25
0.4,70,12,12,24,10
0.4,71,27,17,44,62
0.4,72,52,9,61,28
0.4,73,40,10,50,74
0.4,74,16,16,32,29
0.4,75,25,9,34,46
0.4,76,7,7,14,30
0.4,77,47,17,64,40
0.4,78,10,10,20,10
0.4,79,23,18,41,39
0.4,80,36,6,42,28
0.4,81,17,10,27,55
0.4,82,23,6,29,59
0.4,83,14,14,28,38
0.4,84,10,10,20,28
0.4,85,19,21,40,50
0.4,86,7,7,14,30
0.4,87,6,6,12,14
0.4,88,43,5,48,36
0.4,89,17,10,27,38
0.4,90,74,16,90,61
0.4,91,6,6,12,18
0.4,92,37,9,46,51
0.4,93,64,5,69,51
0.4,94,33,12,45,18
0.4,95,11,11,22,30
0.4,96,88,8,96,46
0.4,97,39,13,52,45
0.4,98,0,0,0,0
0.4,99,106,6,112,30
------------------------
0.5,0,25,10,35,78
0.5,1,36,7,43,35
0.5,2,21,8,29,22
0.5,3,36,8,44,37
0.5,4,13,10,23,24
0.5,5,37,11,48,42
0.5,6,81,3,84,31
0.5,7,19,16,35,48
0.5,8,50,12,62,16
0.5,9,10,9,19,50
0.5,10,85,15,100,38
0.5,11,16,6,22,37
0.5,12,15,3,18,27
0.5,13,12,11,23,58
0.5,14,10,10,20,30
0.5,15,71,8,79,29
0.5,16,13,13,26,4
0.5,17,91,8,99,28
0.5,18,20,8,28,45
